fledgling.tarsus.mm,bombed,parent.tarsus.mm,parent.beak.mm,parent.plumage.nm
15.3900737860205,Yes,18.4133266795356,18.9871369988643,36.3402132924908
12.648042949128,Yes,22.5515169352778,16.5256965606582,33.9430835138014
15.0034680549442,Yes,19.3889790036219,16.2241167671334,33.8748816370293
16.8249500884982,Yes,21.3424479604859,16.9792168619713,34.7073746166379
12.8825805086243,Yes,18.015414687597,16.322539055365,34.2020195858712
16.8901210150271,Yes,21.4950870440463,18.0175151174491,35.8070697132048
14.8905843209027,Yes,21.0065872473399,16.2661033446181,34.4608079922546
15.2520850608212,Yes,19.0629481288862,15.9684350037674,33.6084431315077
16.2701186028149,Yes,20.7815616697397,15.9687861914017,33.9633351516424
16.7171700174851,Yes,17.2492532545084,16.8400295334666,35.270213621927
16.7459877892163,Yes,25.6384225775415,17.1306896480917,34.4949593831495
12.7119539195285,Yes,16.3617044858913,17.943263395348,35.7740319967184
15.6256422099078,Yes,15.9788868452205,15.7339535415801,33.4698590071032
15.5791809805285,Yes,20.59982881118,16.7945455509515,34.122791958162
14.3332092870688,Yes,19.0384646189108,17.6757997001467,35.5564096940096
12.2766672479533,Yes,15.9739093342686,16.7707035658482,34.6355503442225
15.6075956722468,Yes,16.494516755922,16.7434825866998,34.2698575352084
14.3781597219431,Yes,21.9702789163354,15.502770989589,33.6315783254559
14.839976032855,Yes,18.9721307762743,18.3085938015521,36.4064971536742
15.8392272067234,Yes,12.4853513958743,16.593431327921,33.9202167612251
15.3795844004773,Yes,13.0319356646508,17.0075568083078,34.5243250616523
14.3934821686659,Yes,18.5576492913355,16.3970298613382,34.501776146161
14.404203213808,Yes,24.1602720707568,18.1542511634798,35.6675314019489
14.1789801364707,Yes,16.9768999702325,17.6794630675155,35.390946503834
15.1921011818618,Yes,22.5062421623594,17.1138567462747,35.0589901161056
15.5164755986873,Yes,19.112826718935,16.3223875818671,34.3753192106712
15.8168914364301,Yes,16.3004495710469,16.5078733259932,34.2506749403229
15.3478874872405,Yes,19.5902600227829,15.7208524539657,32.7828110959665
12.709644206479,Yes,16.7305643077914,15.2821353927188,33.5290467181874
15.9596499671087,Yes,19.3056406602598,17.3419286574885,35.1982340087268
14.5073562636002,Yes,21.7753685573628,17.403963178801,34.7801544132619
13.4392942781165,Yes,21.3854665747816,16.3107131223172,33.5750148772956
14.9375597022931,Yes,22.9307489822629,17.5649717415226,35.208232455575
15.2406743940008,Yes,23.7621985504676,15.7916096051017,33.619693676081
14.7265134653809,Yes,18.3614685759002,15.3011652155773,33.2404544841101
12.8027694923525,Yes,15.5616799123958,17.811511866891,35.6377383538567
14.9302228205985,Yes,17.3643327951507,16.6278301243191,34.2744273929973
15.0030029459518,Yes,22.3336128047213,15.610080696886,33.1266540468249
15.6458669399078,Yes,19.3866941005962,16.3693394674547,34.5899902437066
12.9872765548229,Yes,15.8302216650422,16.8934270192576,34.7016837308512
16.2733043730349,Yes,23.9433453875666,18.2626894070981,35.7550997932785
14.1903588381439,Yes,23.060631597809,16.4963402556071,34.117721579866
12.0943020545253,Yes,18.8475671716172,14.8632096603338,32.6119351321114
13.9419903378325,Yes,25.6307592169349,16.585983705765,34.059774026762
14.5157236397915,Yes,27.287583083179,16.9441313677302,34.8809972428963
14.5327236284623,Yes,23.3024205026315,17.5102038190859,35.556055117244
15.9579369708577,Yes,20.6952134401426,18.2174394558394,35.8016690318764
16.3962216593315,Yes,17.1920300626091,16.5593044090047,34.2795239232903
15.2194090051518,Yes,28.5375036185168,17.3623346739957,35.238751077908
16.1959044046405,Yes,19.5203105093144,17.8416967938974,35.8281936181149
14.9491898796615,Yes,18.9065987061675,16.8591340777166,34.8390713024513
14.2779120951511,Yes,19.4323757423524,18.9817080574803,36.8539837878205
15.5721628929977,Yes,16.8489759313723,17.9126034800151,36.306246050122
14.9502905383818,Yes,23.0964712045715,15.721551294336,33.6873188484024
13.8225758389552,Yes,16.685645253446,17.5854839601604,35.2717079097734
14.9506700250962,Yes,24.0085374106175,16.6594346283294,34.7570993272985
15.3146374622315,Yes,19.728667647814,15.3212214732438,33.3767135331591
11.6789675012629,Yes,16.1450584569086,17.0233247516324,34.8517454267085
15.4114056310032,Yes,19.9042273851418,16.6864209666472,34.6214817235914
12.5445721212169,Yes,20.7591684874939,16.8343617399979,34.7451011283346
14.7899138764274,Yes,27.7000477977084,16.7725415448781,34.9638529007608
14.9607705622638,Yes,19.2075560783911,16.0074741235352,33.7244183268838
13.1767198241389,Yes,19.0380828419078,17.509321640935,35.6382347222232
14.5163486392497,Yes,22.9721496131779,17.0063422239433,34.6085381968174
11.9958704829074,Yes,16.9395699152543,16.8361947714571,34.8696335506563
13.5847593385299,Yes,21.7246257968733,16.909118985297,34.361018123624
16.1485643430604,Yes,18.6060940917073,18.4737077133075,36.3767636903147
15.4102103659195,Yes,21.9001662711648,17.7907307934001,35.4108061316909
17.3032629672873,Yes,18.0379612092953,16.8937464686446,34.3981843620722
13.9408438497231,Yes,18.1219164492816,17.926916043145,36.1502489743567
13.3168108707958,Yes,19.7257672127081,17.5565361020618,35.759400360442
13.4855051455488,Yes,23.7027870364622,17.4401598199329,35.3456496924955
13.867722377508,Yes,20.971831990349,17.0988211702482,34.1546634840201
16.5639932854343,Yes,14.9558528549417,16.1942345969975,34.1086365042063
14.9465187220924,Yes,24.7517096536659,18.9556881945343,36.3415189596763
15.2805208157814,Yes,25.5814468172417,18.0400283545682,36.1715702637917
14.9401415089248,Yes,22.6001615829908,17.3358056631204,35.6383902562198
14.0969028176234,Yes,14.8596140253903,18.1212238919064,35.4188307536263
16.3012106664121,Yes,20.636942705577,16.7169275986882,34.6410991800805
12.4272630649429,Yes,20.6951883772932,18.493909000822,36.4083287084086
14.3809553403318,Yes,16.5103017125734,16.9408006158056,34.8718199390222
